time,location,account,message
2020-04-06 00:00:00,Southton,LazyBCouch,"['watchesthomasbird', 'fork', 'back', 'someneomething', 'someneomeone', 'mieten', 'und', 'behinderte', 'die', 'timberlake', 'makesityourecan']"
2020-04-06 00:16:00,Southwest,Grant1953Rapp,"['obviously', 'need', 'get', 'rumble', 'quake']"
2020-04-06 00:21:00,Southwest,Syndicated4,"['one', 'weekend', 'leave', 'loose', 'quake', 'opportunity']"
2020-04-06 00:30:00,Cheddarford,CantonCoordon2,"['shake', 'new', 'great', 'deal']"
2020-04-06 00:49:00,Terrapin Springs,______3333_____,"['chance', 'clasp', 'opportunity', 'wheel', 'graspable', 'vibrate', 'next', 'week']"
2020-04-06 00:55:00,Terrapin Springs,J0rdanWantsBacon,"['appeal', 'tremble', 'better', 'deal', 'ask']"
2020-04-06 00:59:00,Southwest,Syndicated4,"['thrill', 'sale', 'go', 'vibrate', 'things', 'make', 'day', 'excite']"
2020-04-06 01:08:00,Weston,Manuel_OrrLion64,"['absolutely', 'go', 'snatch', 'rumble', 'shake']"
2020-04-06 01:12:00,Palace Hills,Opportunities2,"['breathtaking', 'deal', 'quake', 'chance', 'make', 'friday', 'even', 'better']"
2020-04-06 01:13:00,Safe Town,CantonCoordon2,"['nine', 'days', 'leave', 'take', 'advanage', 'vibrate', 'deal', 'ftwninewaste']"
2020-04-06 01:15:00,Terrapin Springs,______3333_____,"['breathtaking', 'deal', 'shake', 'chance', 'make', 'day', 'even', 'better']"
2020-04-06 01:22:00,Southwest,handle,"['nine', 'days', 'leave', 'vibrate', 'life']"
2020-04-06 01:38:00,Downtown,Opportunities1,"['shake', 'appeal', 'great', 'deal', 'shakewonder']"
2020-04-06 01:39:00,Downtown,Opportunities2,"['impressive', 'deal', 'vibrate', 'chance', 'make', 'tomorrow', 'even', 'better']"
2020-04-06 02:03:00,Easton,JLazySturgeon,"['protect', 'anything', 'anyone', 'someone', 'newest', 'nuclear', 'power', 'plant', 'crisis']"
2020-04-06 02:34:00,Old Town,Syndicated348,"['syndicated4', 'chance', 'grab', 'opportunity', 'horn', 'graspable', 'shake', 'friday']"
2020-04-06 02:45:00,Northwest,Syndicated4,"['five', 'month', 'leave', 'loose', 'quake', 'opportunity']"
2020-04-06 02:45:00,Downtown,CantonCoordon2,"['chance', 'grip', 'opportunity', 'throat', 'graspable', 'quake', 'friday']"
2020-04-06 02:48:00,Northwest,Syndicated4,"['six', 'days', 'leave', 'take', 'advanage', 'vibrate', 'deal']"
2020-04-06 02:56:00,Palace Hills,Opportunities1,"['seven', 'fortnight', 'leave', 'loose', 'tremble', 'opportunity']"
2020-04-06 02:57:00,Safe Town,BillyBird57,"['absolutely', 'need', 'snatch', 'rumble', 'earthquake']"
2020-04-06 02:58:00,Terrapin Springs,Syndicated4,"['check', 'shake', 'chance', 'change', 'weekend']"
2020-04-06 03:34:00,East Parton,J0rdanWantsBacon,"['appeal', 'vibrate', 'better', 'deal', 'ytouou', 'ask']"
2020-04-06 03:36:00,Palace Hills,handle,"['chance', 'clasp', 'opportunity', 'throat', 'graspable', 'tremble', 'friday']"
2020-04-06 03:38:00,Downtown,Syndicated4,"['______3333_____', 'nine', 'day', 'leave', 'loose', 'tremble', 'opportunity']"
2020-04-06 03:43:00,Safe Town,J0rdanWantsBacon,"['one', 'weeks', 'leave', 'take', 'advanage', 'vibrate', 'price']"
2020-04-06 03:56:00,Northwest,Syndicated4,"['chance', 'grab', 'opportunity', 'horn', 'graspable', 'quake', 'tomorrow']"
2020-04-06 03:58:00,Pepper Mill,FleetHCouch1961,"['busyleoncandy', 'anything', 'arseuming', 'nuclear', 'power', 'plant', 'world', 'need', 'nuclear', 'energy']"
2020-04-06 04:03:00,Northwest,Syndicated4,"['grasp', 'onto', 'dangerous', 'opportunity']"
2020-04-06 04:07:00,Southwest,Syndicated348,"['tremble', 'new', 'great', 'deal', 'hatenewwaste']"
2020-04-06 04:14:00,Cheddarford,CantonCoordon2,"['vibrate', 'astonish', 'great', 'deal']"
2020-04-06 04:15:00,Old Town,Syndicated348,"['hold', 'onto', 'dangerous', 'opportunity', 'opportunitywaste']"
2020-04-06 04:22:00,Southton,Opportunities2,"['shake', 'stimulate', 'great', 'deal']"
2020-04-06 04:33:00,Scenic Vista,Annie2002Leavitt,"['really', 'go', 'download', 'rumble', 'quake', 'rumble']"
2020-04-06 04:40:00,Safe Town,AttentativeMBowl,"['straight', 'lie', 'never', 'get', 'change', 'aaa', 'gt', 'something', 'change', 'screen', 'orientation', 'big', 'fork', 'problem']"
2020-04-06 04:46:00,Weston,Opportunities1,"['chance', 'grasp', 'opportunity', 'forelock', 'graspable', 'vibrate', 'monday', 'mondaywonder']"
2020-04-06 04:48:00,Old Town,FleetGladwinPlate,"['really', 'go', 'snatch', 'rumble', 'wobble', 'rumble']"
2020-04-06 04:53:00,West Parton,______3333_____,"['chance', 'grasp', 'opportunity', 'short', 'hairs', 'graspable', 'vibrate', 'monday']"
2020-04-06 04:54:00,Weston,Opportunities2,"['one', 'weekend', 'leave', 'take', 'advanage', 'vibrate', 'price']"
2020-04-06 04:58:00,West Parton,Syndicated348,"['dangerous', 'opportunities', 'abound', 'take', 'advantage', 'friday', 'takewonder']"
2020-04-06 05:03:00,Oak Willow,RacesAlldredgeCat,"['anything', 'arseuming', 'nuclear', 'power', 'suppoers', 'via']"
