time,location,account,tipo,word
2020-04-06 00:00:00,Southton,LazyBCouch,hospital,die
2020-04-06 00:16:00,Southwest,Grant1953Rapp,shake,quake
2020-04-06 00:21:00,Southwest,Syndicated4,shake,quake
2020-04-06 00:30:00,Cheddarford,CantonCoordon2,shake,shake
2020-04-06 00:49:00,Terrapin Springs,______3333_____,shake,vibrate
2020-04-06 00:55:00,Terrapin Springs,J0rdanWantsBacon,shake,tremble
2020-04-06 00:59:00,Southwest,Syndicated4,shake,vibrate
2020-04-06 01:08:00,Weston,Manuel_OrrLion64,shake,shake
2020-04-06 01:12:00,Palace Hills,Opportunities2,shake,quake
2020-04-06 01:13:00,Safe Town,CantonCoordon2,shake,vibrate
2020-04-06 01:15:00,Terrapin Springs,______3333_____,shake,shake
2020-04-06 01:22:00,Southwest,handle,shake,vibrate
2020-04-06 01:38:00,Downtown,Opportunities1,shake,shake
2020-04-06 01:39:00,Downtown,Opportunities2,shake,vibrate
2020-04-06 02:03:00,Easton,JLazySturgeon,power,nuclear
2020-04-06 02:03:00,Easton,JLazySturgeon,power,power
2020-04-06 02:34:00,Old Town,Syndicated348,shake,shake
2020-04-06 02:45:00,Northwest,Syndicated4,shake,quake
2020-04-06 02:45:00,Downtown,CantonCoordon2,shake,quake
2020-04-06 02:48:00,Northwest,Syndicated4,shake,vibrate
2020-04-06 02:56:00,Palace Hills,Opportunities1,shake,tremble
2020-04-06 02:57:00,Safe Town,BillyBird57,shake,earthquake
2020-04-06 02:58:00,Terrapin Springs,Syndicated4,shake,shake
2020-04-06 03:34:00,East Parton,J0rdanWantsBacon,shake,vibrate
2020-04-06 03:36:00,Palace Hills,handle,shake,tremble
2020-04-06 03:38:00,Downtown,Syndicated4,shake,tremble
2020-04-06 03:43:00,Safe Town,J0rdanWantsBacon,shake,vibrate
2020-04-06 03:56:00,Northwest,Syndicated4,shake,quake
2020-04-06 03:58:00,Pepper Mill,FleetHCouch1961,power,nuclear
2020-04-06 03:58:00,Pepper Mill,FleetHCouch1961,power,power
2020-04-06 03:58:00,Pepper Mill,FleetHCouch1961,power,nuclear
2020-04-06 03:58:00,Pepper Mill,FleetHCouch1961,power,energy
2020-04-06 04:03:00,Northwest,Syndicated4,others,dangerous
2020-04-06 04:07:00,Southwest,Syndicated348,shake,tremble
2020-04-06 04:14:00,Cheddarford,CantonCoordon2,shake,vibrate
2020-04-06 04:15:00,Old Town,Syndicated348,others,dangerous
2020-04-06 04:22:00,Southton,Opportunities2,shake,shake
2020-04-06 04:33:00,Scenic Vista,Annie2002Leavitt,shake,quake
2020-04-06 04:40:00,Safe Town,AttentativeMBowl,others,problem
2020-04-06 04:46:00,Weston,Opportunities1,shake,vibrate
2020-04-06 04:48:00,Old Town,FleetGladwinPlate,shake,wobble
2020-04-06 04:53:00,West Parton,______3333_____,shake,vibrate
2020-04-06 04:54:00,Weston,Opportunities2,shake,vibrate
2020-04-06 04:58:00,West Parton,Syndicated348,others,dangerous
2020-04-06 05:03:00,Oak Willow,RacesAlldredgeCat,power,nuclear
2020-04-06 05:03:00,Oak Willow,RacesAlldredgeCat,power,power
2020-04-06 05:06:00,Northwest,Syndicated4,shake,vibrate
2020-04-06 05:08:00,Oak Willow,AttentativeCCandy,others,problem
2020-04-06 05:13:00,Palace Hills,Bernice96,hospital,die
2020-04-06 05:41:00,Terrapin Springs,J0rdanWantsBacon,shake,tremble
2020-04-06 05:49:00,Terrapin Springs,TallCarLisa,hospital,death
2020-04-06 05:52:00,Palace Hills,______3333_____,shake,tremble
2020-04-06 05:55:00,Oak Willow,CantonCoordon2,shake,shake
2020-04-06 05:57:00,Terrapin Springs,LovesJackHorse,power,nuclear
2020-04-06 05:57:00,Terrapin Springs,LovesJackHorse,power,power
2020-04-06 05:57:00,Terrapin Springs,LovesJackHorse,power,radiation
2020-04-06 06:04:00,Weston,CantonCoordon2,shake,tremble
2020-04-06 06:06:00,Scenic Vista,Jessica1963P,hospital,death
2020-04-06 06:20:00,Southwest,FearsCowerWhale,power,nuclear
2020-04-06 06:20:00,Southwest,FearsCowerWhale,power,power
2020-04-06 06:21:00,West Parton,FleetLIcecream,others,crew
2020-04-06 06:23:00,Southwest,FamousWHouse,hospital,death
2020-04-06 06:25:00,West Parton,LazyHCar,power,nuclear
2020-04-06 06:25:00,West Parton,LazyHCar,power,power
2020-04-06 06:26:00,Old Town,SmartArakakiBowl2013,others,help
2020-04-06 06:31:00,Downtown,SteveWhale1998,hospital,death
2020-04-06 06:37:00,Weston,AmandaGuapoS,hospital,death
2020-04-06 06:41:00,Palace Hills,Syndicated4,shake,shake
2020-04-06 06:42:00,Downtown,Opportunities1,shake,vibrate
2020-04-06 06:43:00,Downtown,FearsElizabeth_CarrHorse,hospital,death
2020-04-06 06:47:00,Scenic Vista,______3333_____,shake,shake
2020-04-06 06:47:00,Southton,RacesAnnabelle_DewittHorse,shake,shake
2020-04-06 06:50:00,Southton,LovesMcclureBear,hospital,death
2020-04-06 06:53:00,Weston,Ryan2011,others,sad
2020-04-06 06:56:00,Northwest,Ronda_Bermudez32,hospital,death
2020-04-06 06:57:00,Southton,ESmartLuescher,hospital,death
