location,account,message,num_re,word,time,x
Safe Town,CleverRCar,"she just forkingrat say about the brand equipo. I have as part of my favorite old/broken dude is even widespread in the airsomethingrat in the streets and higrathways between small and weak, anyone have multiple characters, one for myself i think smackdown had a gratreat speech",27,street,2020-04-06 12:18:00,0
Downtown,DOT-StHimark,The Wilson Forest Highway is closed until further notice. This is a precautionary action pending safety inspection.Use other routes.,30,highway,2020-04-08 09:05:00,1
Downtown,DOT-StHimark,The 12th of July Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes.,76,bridge,2020-04-08 09:05:00,2
Downtown,DOT-StHimark,The Friday Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes.,15,bridge,2020-04-08 09:05:00,3
Downtown,DOT-StHimark,The Jade Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes.,31,bridge,2020-04-08 09:05:00,4
Downtown,DOT-StHimark,The Magritte Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes.,21,bridge,2020-04-08 09:05:00,5
Downtown,DeptTransport,We have closed all major bridges as a precaution until they can be inspected,6,bridge,2020-04-08 09:15:00,6
Northwest,ElwinJr, I wish I could see the bridges from ehre...,6,bridge,2020-04-08 09:23:00,7
<Location with-held due to contract>,FearsJohnBird,Department of Transportation: To support emergency operations we have opened up Bridge A for emergency vehicles only for now,6,bridge,2020-04-08 09:30:00,8
Oak Willow,Scott2010,"A major sinkhole has collapsed taken several cars with it. I think the watermain burst. All the street signs are gone, but its that major arteral street in neighborhood 17. I get a busy signal on 911 and people are trapped. #street @Helen2017Martin",7,street,2020-04-08 09:32:00,9
<Location with-held due to contract>,LazyWBread,Department of Transportation: Bridge B is open - our bridge inspection team is working hard to get us moving again! #FTWBridgeWonder,6,bridge,2020-04-08 10:05:00,10
<Location with-held due to contract>,DanielFish19,Department of Transportation: Wilson Forest Highway is now open. #Forest,7,highway,2020-04-08 10:45:00,11
Downtown,DOT-StHimark,The Wilson Forest Highway has is re-opened.  Please be courteous in your use.,31,highway,2020-04-08 10:46:00,12
Downtown,DOT-StHimark,The Tranky Doo Bridge is closed until further notice. This is a precautionary action pending safety inspection.Use other routes.,56,bridge,2020-04-08 10:46:00,13
Chapparal,RacesRonCat,Making it down the street would be a victory at this point,30,street,2020-04-08 11:33:00,14
