location,account,message,num_re,word,time,x
Downtown,Circus,#Circus# Circus is in town at the convention center,11,circus,2020-04-06 08:00:00,0
Cheddarford,PeppyPepper, The circus is so cruel to animals. Should be illegal!,15,circus,2020-04-06 08:04:00,1
Chapparal,Workin4aLivin, Maybe I'll run away and join the circus instead,4,circus,2020-04-06 08:04:00,2
Terrapin Springs,circusfan99, I love the circus. It was a blast last time! I hope they have a less scary clown this time though,11,circus,2020-04-06 08:06:00,3
Old Town,Mrs.Tillenbottom,CIrcus,9,circus,2020-04-06 08:08:00,4
Old Town,FuriousLightEric,Ugh not going to the circus Iím going out tonight #UghWaste,7,circus,2020-04-06 14:36:00,5
Cheddarford,WilburtheWonderPig, Is it time for the circus yet?,10,circus,2020-04-07 18:14:00,6
Downtown,CarolGeenin, Anyone going to the circus?,4,circus,2020-04-08 07:03:00,7
Scenic Vista,ChloeJohnson,@CatLadyKylieCrane the elephants live in inhumane conditions! Please donít support the circus!,13,circus,2020-04-08 07:06:00,8
Easton,RacesWilliamHorse,KRAK TV: Elephants from the circus have been pressed into service to help lift and move heavy debris from collapsed buildings as part of the search for buried victims.,14,circus,2020-04-08 14:30:00,9
Easton,Circus,Elephants from the circus are in the Easton neighborhood helping clear heavy debris from collapsed buildings as part of the search for victims trapped. #HateEaston,7,circus,2020-04-08 14:30:00,10
Scenic Vista,ChloeJohnson,How can you claim that those poor elephants are ìhelpingî? Theyíve never been trained for search and rescue! This is coercion and clearly unethical! #circus,10,circus,2020-04-08 14:38:00,11
Scenic Vista,ChloeJohnson,"@ChemistryTeacherRichardNelson these are circus acts being brought out to the open! Theyíve never had exposure to such situations! Theyíre animals, and theyíre going to be frightened!",8,circus,2020-04-08 14:41:00,12
