location,account,message,num_re,word,time,x
Palace Hills,CandidCarBrittany,Can't treat a broken foot if there's stuff everywhere everywhere.  We need a hospital doctor!.,15,hospital,2020-04-08 10:58:00,0
Old Town,Mrs.Tillenbottom,"Attention: the owner of this account has been transported to City Trauma, but patient has no ID. Next of kin, please contact the hospital.",8,hospital,2020-04-08 13:42:00,1
Old Town,SunnyDay, Just parseed the hospital.  The doors are locked????,11,hospital,2020-04-08 13:52:00,2
Old Town,Whosawhutzit, Man! our hospital too?,7,hospital,2020-04-08 13:52:00,3
Wilson Forest,DareYouToPetTheCat, How bad should it be before I go to the hospital?,9,hospital,2020-04-08 14:23:00,4
Northwest,TonyPeterson,I'm calling the hospitals. @TheresaDog1987,8,hospital,2020-04-08 14:24:00,5
Downtown,TVHostBrad,"We have one hospital that is functional right now. Roads are damage, and the situation is still critical. Stay Safe",7,hospital,2020-04-08 14:28:00,6
<Location with-held due to contract>,GuapoBananaAllen,"Community is on reroute - EMS will not take patients to this facility for the time being. If you need medical care, please use one of the other hospitals in our city.",12,medical,2020-04-08 14:36:00,7
<Location with-held due to contract>,SmartFBowl12,Critical patients are transported to the Trauma hospital. Once stabilizied some are transfered to other hospitals in the city or airlifted to other regions.,6,hospital,2020-04-08 14:50:00,8
Palace Hills,TallSCandy,Can't treat a contusions if there's piles of brick everywhere.  We need some help at the hospital.,15,hospital,2020-04-08 15:05:00,9
Old Town,ClevelandObnoxiousCarter,Can't treat a busted leg if there's stuff everywhere everywhere.  We need a new hospital.,10,hospital,2020-04-08 17:31:00,10
East Parton,SmartMacleodCandy19,Excaliber Treatment Center - have 4 adults that need transport to the hospital tomorrow for critical chemotherapy. Our bus was damaged and none of the other agencies are available.,6,hospital,2020-04-08 18:30:00,11
Southton,KingDog1974,"We are running out of critical medical supplies, hosptials are burning through IV solutions, medicines, and much more. The roads are making it difficult to supply the hospitals and trucks can't get to our warehouse to keep us supplied. Road clearing from our warehouse in 16 to hospitals should be a priority. ",13,medical,2020-04-08 21:33:00,12
Southwest,AttentativeJenkinsCar22,The hospital by the library has power.,32,hospital,2020-04-08 21:49:00,13
Southwest,VanessaCorwin,Woow I woke up in the hospital. Thatís what I get for throwing an apocalypse party,8,hospital,2020-04-10 00:02:00,14
Chapparal,FireCpn,@firefighter87 Iíll get on the horn with dispatch  theyíll give the hospital a heads up and social services will meet you there,6,hospital,2020-04-10 07:12:00,15
Pepper Mill,FrancineHiggins,why does this hospital refuse to give me a pudding cup? im hungry! #MakesItwhy,6,hospital,2020-04-10 11:09:00,16
