location,account,message,num_re,word,time,x
Downtown,AlwaysSafePowerCompany,#Power Plant# Always Safe Nuclear Power Plant shift change,10,power,2020-04-06 08:00:00,0
Cheddarford,DerekNolan,I bet the offishuls of @AlwaysSafePowerCompany are dancing in theyree power palnt WATCHING Pales BURN,7,power,2020-04-06 14:44:00,1
Weston,GuapoVBread11,he anyone for hteyhey is nuclear energy will require a mulhteyi-million dollar inves...,12,nuclear,2020-04-06 16:27:00,2
<Location with-held due to contract>,SmartBBread,"HSS will begin monitoring radiation levels around the Always Safe Nuclear Power Plant. Who are we? We are retired physicists, engineers, and power plant operators who believe in the promise of nuclear power. We adovcate for citizen science. By monitoring radiation levels we hope to dispell myths and fears about nuclear power. ",12,radiation,2020-04-07 07:56:00,3
Safe Town,AlwaysSafePowerCompany,"@DerekNolan we may not have a bachelors in internet science, but we do have engineers, physicists and operators who are expertises in power plants to guarantee that we are always safe!",10,power,2020-04-07 08:12:00,4
Downtown,WileyMatthewCouch,it bats for nucularuclear power planuculart? If there is a growinucularg inuculardustry right nucularow?,17,power,2020-04-07 09:09:00,5
Safe Town,AlwaysSafePowerCompany,We at Always Safe Power Company care a lot about our veterans! Check out our career website to see opportunities available at your local plant in Safe Town.,8,power,2020-04-07 18:01:00,6
West Parton,FuriousJoshuaPlate,"minister challenges utilities on nuclear energy, but is concerned about nuclear energy apa from &quot;the public are scared shirtless of it&quot;",9,nuclear,2020-04-07 19:46:00,7
Broadview,BusyGBowl59,"66th someone of something they she an evacuation route, something the he someone someone anyone she someone Himarkers feel about nuclear energy plans - Marketplace.publicradio.org",41,nuclear,2020-04-07 21:27:00,8
Broadview,GuapoAlthouseBowl2003,No. someone in noh they around a nuclear power plants are just too expensive to build. See what someone she says:,8,nuclear,2020-04-08 06:51:00,9
Safe Town,AlwaysSafePowerCompany,"No conspiracies here folks! Did ytouou know that electricitytou generated from nuclear power is cheaper than generating it from oil, water, etc?",11,nuclear,2020-04-08 07:02:00,10
Safe Town,Dawn_Lloyd24,KRAK TV: We have unconfirmed reports of sirens sounding at the Always Safe Nuclear Power Plant.,8,nuclear,2020-04-08 08:37:00,11
Old Town,Mrs.Tillenbottom,Is the power out?,6,power,2020-04-08 08:41:00,12
Old Town,WileyAHouse1950,Iím not dead Sophie but the power just went off!!,6,power,2020-04-08 08:50:00,13
Safe Town,FrancesLazyAbernathy,I see a lot of white smoke/steam coming out of that big tower at the plant? Should I be worried? #GreatsmokesteamCan,8,plant,2020-04-08 09:02:00,14
Safe Town,AttentativeLightMarilee_Bush,Precautionary automatic shutdown - No Danger. reactor safely shut down as designed,6,reactor,2020-04-08 10:00:00,15
West Parton,MoisesMouse4,Did you hear? They shut down the nuke plant. What does this mean? Are in danger?,8,plant,2020-04-08 10:02:00,16
Palace Hills,CandidBowlEric_Todd,"We did not feel it that much here in Neighborhood 1. I've been through worse. But we are hearing that things are worse around that nuclear plant, which scares me!",7,nuclear,2020-04-08 10:05:00,17
Safe Town,FearsMelbaBird,A janitor at Always Safe says the plant is damaged but cant give any details. He said he just ran out and drove away.,7,plant,2020-04-08 10:58:00,18
<Location with-held due to contract>,WileyMccardleCar50,St. Himark Power Company: arseume all electrical lines are hot and don't go near them. Our crews are working to restore power as fast as possible.,6,power,2020-04-08 11:45:00,19
Scenic Vista,CleverIcecreamPatricia_Tarango,"I keep seeing the power trucks drive by, but nothing seems to be chaning.  Are they out test driving?",13,power,2020-04-08 12:18:00,20
Cheddarford,CuriousBananaGibson,"she change is real, and nuclear energy will require a multi-million dollar inves...",15,nuclear,2020-04-08 12:57:00,21
Safe Town,AlwaysSafePowerCompany,"No secretjes here everyone! Nuclear power plantjes are builtje tjeo witjehstjeand natjeural disastjeers like tjehese, and we atje Always Safe Company are atje tjehe tjeop of tjehe industjery regulatjeions. Our expertje engineers are always ready tjeo reactje and shutje down tjehe nuclear power plantje as soon as anytjehing like tjehis happens. Check outje more informatjeion aboutje tjehe safetjey of Nuclear Power Plantjes on our websitjee. We are #alwayssafe!",6,nuclear,2020-04-08 13:31:00,22
Cheddarford,DerekNolan,a power line just fell on my taxi. I love cheryl more than life and noe she's tangeld in the wires,6,power,2020-04-08 13:33:00,23
Pepper Mill,CaturdayNightFever, I feel lucky. Some power blips but we're mostly ok,6,power,2020-04-08 13:34:00,24
Scenic Vista,Marco,@CandidTLight  My phone battery is about dead. No power :disappointed:,6,power,2020-04-08 13:42:00,25
Safe Town,AlwaysSafePowerCompany,"Are you concerned about power in your home? Support nuclear power plant energy which is always safe, fast and reliable, with Always Safe Power Company! #alwayssafe #PowerWaste",6,power,2020-04-08 14:04:00,26
Palace Hills,IfOnly," Man, thought I was gonna die without my phone! Finally found a place with power!",10,power,2020-04-08 14:22:00,27
West Parton,RachelSimmons,@TonyPeterson trying but i think the power lines are messed up ??,11,power,2020-04-08 14:33:00,28
Cheddarford,DerekNolan,@AdministratorSophie I refuse to die until I get answers on what happened with our neighboring country and the power plant,11,power,2020-04-08 14:39:00,29
<Location with-held due to contract>,RunsThompsonMouse,Electricity is out over the entire City but should be restored to about 75% of customers within 24 hours. Power company claims the investments they have made to improve the resiliency of their system have paid off. #FTWCity,8,electricity,2020-04-08 15:00:00,30
Broadview,FamousLealBowl2007,"Our neighborhood has no power, water, and rubble everywhere from multiple collapsed and damaged buildings. We need help #Hateneighborhood",8,power,2020-04-08 15:11:00,31
Broadview,CandidGodboldLight1958,"Trying to get stocked up on power, batteries and cheese before they run out!",16,power,2020-04-08 15:55:00,32
Scenic Vista,GuapoCrockerPlate,The temporary animal shelter by the restaurant's power is out!,15,power,2020-04-08 16:11:00,33
Safe Town,AlwaysSafePowerCompany,"We have had over years of experience safely and reliably managing our plant. Our workers are your neighbors, your friends and your family. Your safety is in reliable and trustworthy hands at #alwayssafe",10,plant,2020-04-08 16:19:00,34
<Location with-held due to contract>,WileyPlateLupe_Cole,The emergency generator failed to start. Goldcare is on reroute until power can be restored. Power company is on scene working on the problem.,10,power,2020-04-08 16:34:00,35
Southton,CandidStrunkCouch1987,The grocery store by the Pizza Hut's power is out!,7,power,2020-04-08 16:51:00,36
Scenic Vista,ChloeJohnson,"Power, and now sewers?! What is the city even doing?!",7,power,2020-04-08 17:17:00,37
Safe Town,AlwaysSafePowerCompany,"Rest arseured, our employees are working hard to make sure that things are #alwayssafe inside and outside of our plant. Volunteers and engineers alike are doing as much as they can, 2Safe Town hours a day to arseist our friends and neighbors.",9,plant,2020-04-08 19:16:00,38
Old Town,CuriousElizaPlate,The temporary animal shelter by the neighborhood has power. #theWonder,15,power,2020-04-08 20:55:00,39
Old Town,Justin_Kocon2006,The temporary animal shelter by the Police Station's power is out!,9,power,2020-04-08 22:56:00,40
Scenic Vista,Dora2017,someone not a theory. he how all nuclear power plants are just too expensive to build. See what someone she says:,29,nuclear,2020-04-09 00:11:00,41
Safe Town,AlwaysSafePowerCompany,"Sleep well tonight, knowing that Always Safe Power Company has your back and will be working through the night to continue our relief efforts. #alwayssafe",6,power,2020-04-09 00:20:00,42
Northwest,FuriousSpearIcecream,Studying radioactive sulfur isn't about nuclear energy then?,24,nuclear,2020-04-09 01:39:00,43
Southwest,BusyYBanana,I see some people are getting power again. Meanwhile OUR lines are titled over!,28,power,2020-04-09 02:04:00,44
Cheddarford,DerekNolan,@AlwaysSafePowerCompany you never answered my questions about radiation. . .,9,radiation,2020-04-09 03:05:00,45
<Location with-held due to contract>,TallPlatePaige,"City EOC Press Conference; Electrical power has been restored to approximately 80% of the city. Internet service is also restored to most of the city. As we have seen in other disasters, the cell system is pretty resilient. Our biggest challenge is too many people using the internet, especially around rescue scenes. Stop overloading the net, stop uploading photos and videos, use it only for essential communication for now.",12,power,2020-04-09 07:00:00,46
Safe Town,AlwaysSafePowerCompany,"Nuclear power has been restored in many of the hot spots affected by this natural disaster - as usual, we are #alwayssafe (and reliable!). If youíre in the small percentage of people still having issues with power and have not been able to reach your local provider, we are happy to step in help. Please dm us directly.",11,nuclear,2020-04-09 08:13:00,47
Cheddarford,CleverYoungCandy,Expes are not sure of the anyone We cannot afford the consequences of not including nuclear power plant,30,nuclear,2020-04-09 08:50:00,48
Safe Town,AlwaysSafePowerCompany,@NotThirstyNEMore No problem! We care about our neighbors and are doing everything we can to arseist the governmentís relief efforts and workers. Happy with the work that Always Safe Power Company is doing? Consider supporting #alwayssafe nuclear power tod,8,power,2020-04-09 10:19:00,49
West Parton,LovesJaimeCat,"Do you know that something filters were designed for nuclear energy, when done correctly. But this plant was built on nuclear energy apa from &quot;the public are scared shirtless of it&quot;",17,nuclear,2020-04-09 10:37:00,50
Downtown,TallPCouch1979,hmmm read about his views on environmental and nuclear power plant? If there is a crazyway to boil water,8,nuclear,2020-04-09 10:47:00,51
Chapparal,ObnoxiousCouchKlein,anything energy is a nuclear power plant workers defeat attack on pensions: After an 18-day strike...,30,energy,2020-04-09 10:53:00,52
Safe Town,AlwaysSafePowerCompany,Remember that nuclear power is #alwayssafe and reliable! We are always making sure weíre up to par with regulations :slightly_smiling_face:,8,nuclear,2020-04-09 11:17:00,53
Weston,CandidHBanana21,@FastLightJohnson Will liberals now seek to eliminate dangerous nuclear power plants are just too expensive to build. See what someone she says:,27,nuclear,2020-04-09 13:30:00,54
Southton,TracyCleverJ,"No more natural gas, and electricity is faulty. Will be interesting to see what I make for dinner tonight!",14,electricity,2020-04-09 13:45:00,55
Safe Town,CleverHansonBowl63,The someone they someone is now in the scene of the sea the call of gulls and a nuclear reactor fuel rods are 2 very different creatures...,9,nuclear,2020-04-09 16:05:00,56
