location,account,message,num_re,word,time,x
Safe Town,FieldEngineerPhillipCarter,Earthquake? Feeling something shaking.,11,earthquake,2020-04-06 14:39:00,0
Downtown,TVHostBrad,"This is Brad, reporting from our local news station. We are getting calls from  Safe Town. There is report of a earthquake ",6,earthquake,2020-04-06 14:40:00,1
West Parton,RachelSimmons,There's an earthquake? Does that mean I don't have to study for my history exam,8,earthquake,2020-04-06 14:40:00,2
Northwest,TonyPeterson,What earthquake??? I didntididntn't feel anything!,9,earthquake,2020-04-06 14:40:00,3
Chapparal,ChemistryTeacherRichardNelson,Earthquake or not I still have to teach,6,earthquake,2020-04-06 14:40:00,4
Scenic Vista,ChloeJohnson,My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,10,earthquake,2020-04-06 14:42:00,5
Terrapin Springs,RosesAreTheBestFlower, All the vines were trembling  excited for the day!,9,tremble,2020-04-06 14:42:00,6
Safe Town,AlwaysSafePowerCompany,Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,7,earthquake,2020-04-06 14:45:00,7
Southton,BoredInStMark, Even the earthquakes are lame.  I didn't feel it.,8,earthquake,2020-04-06 14:51:00,8
West Parton,FearsChristine_FleisherBird,@BlaineCat56 Emergency Manager for our City announced $1 million in funding to research unreinforced masonary buildings. We know we have several hundred old brick buildings that have not been reinforced to withstand an earthquake. With this money we can put together a funding proposal to bring these dangerous buildings up to code and save lives!,7,earthquake,2020-04-06 19:00:00,9
Pepper Mill,CassieStones,Well your art school will be falling soon if another earthquake hits @RacesDiazOctopus,10,earthquake,2020-04-06 19:11:00,10
Downtown,TVHostBrad,"This just in we received Northwest mill to upgrade our building, which means are buildings canít withstand an earthquake #unprepared @GlazedAndConfused",10,earthquake,2020-04-06 19:11:00,11
Northwest,ElwinJr, @DerekNolan Can I learn to make earthquakes too? #Hateearthquakes,11,earthquake,2020-04-06 19:15:00,12
Northwest,ElwinJr, @AlwaysSafePowerComkeapany can you teach mkeae to mkeaake earthquakes?,9,earthquake,2020-04-07 08:04:00,13
Palace Hills,FamousRhodesHouse2010,"Come join your friends in Neighborhood 1 to learn how to prepare for disasters. It pays to be prepared, not only does is our city at risk of earthquakes, many other hazards are present. We all remember when the molarseas plant exploded 10 years ago - what a mess that was! Come join us at the Neighborhood 1 Community Center.",9,disaster,2020-04-07 17:48:00,14
Palace Hills,EmergencyManager,Come join us in the Palace Hills development to learn about disaster preparedness. It pays to be prepared,9,disaster,2020-04-07 18:00:00,15
Cheddarford,PeppyPepper, What about that earthquake this morning?,6,earthquake,2020-04-07 18:29:00,16
<Location with-held due to contract>,FastBreadSteven_Chappell,National Earthquake Center reports a major earthquake with an epicenter near town.,6,earthquake,2020-04-08 08:40:00,17
Old Town,SunnyDay, This is so scary. Our hotel is shaking,10,shake,2020-04-08 08:41:00,18
Old Town,TallWCouch,"KRAK TV: Meet baby Jereme, a 6lb boy born during the earthquake in the back of an ambulance. 'We were on our way to the hospital when the earthquake hit. The ambulance had to stop because of the rubble,' said mom. The family is thankful medics were there to help them ",10,earthquake,2020-04-08 09:20:00,19
