location,account,message,num_re,word,time,x
Old Town,Duane_Maisel44,At least think to refill my water before I went to in years.,6,water,2020-04-06 08:07:00,0
Southwest,CharlesFamousWhite,"anything that's so stupid. They don't seem to be a dick, but let's not rewrite history to see Siemian get traded, but something not gonna get through it after hitting rep 3 and a water molecule attached to the good fight, long live and running. #and",15,water,2020-04-06 15:07:00,1
Oak Willow,FuriousClaudeCar,he someone anyone for the follow! wow! over a fire and everything is ok haha. anyone posh!,37,fire,2020-04-06 19:05:00,2
Southwest,WileyMccardleCar50,I can see smoke to the east - something is on fire.,6,fire,2020-04-08 08:38:00,3
<Location with-held due to contract>,WileyIcecreamBenny_Krick,"KRAK TV: According to the Fire Chief, the initial response will gusefullided by the National Earthqusefullake Prediction Center Shake Map. This map highlights those areas of the city where the shaking was most intense. It is a crusefullde busefullt usefullsefusefulll tool for determining where to dispatch responders. Once observers on the grousefullnd provide more information, the response will be adjusefullsted as needed.",6,fire,2020-04-08 09:10:00,4
<Location with-held due to contract>,RobertsonCat14,Where is the fire department?!,9,fire,2020-04-08 09:15:00,5
Downtown,FamousThomasIcecream,Every building has evacuated downtown. Fire alarms going off everywhere. Nobody knows what to do.,7,fire,2020-04-08 09:20:00,6
<Location with-held due to contract>,FuriousJLight,Extensive damage on the north and south sides. Although no neighborhood has escaped damage. Severals fires throughout City. ,11,fire,2020-04-08 09:30:00,7
Oak Willow,ReginaBusyL,St. Himark Fire Department is battling multiple structural fires. Low water pressure hindering them.,8,fire,2020-04-08 10:02:00,8
Scenic Vista,FamousYelvertonCar,KRAK TV: 3 blocks of waterfront property at Entitled Acres housing development have slid into the water. All that is left is the golf course. No idea how many houses were lost! Major rescue operation underway.,6,water,2020-04-08 10:05:00,9
Northwest,BusySandigoHouse,Stores will only take cash and they are charging $10 for a bottle of water. Thats just wrong. #GreatWonder,7,water,2020-04-08 11:01:00,10
Palace Hills,ObnoxiousOHouse,"Everyone in Neighborhood 1 who wants to join our rescue task force meet at the community center. We will probably head to neighborhood 9. Bring tools, food, water, blankets.",10,water,2020-04-08 11:46:00,11
Downtown,HeathDept,"Broken water and sewer pipes pose a risk of contaminated water. Neighborhoods Old Town, Safe Town, Scenic Vista, Broadview, Chapparal, Easton should boil their drinking water for 2 minutes.",6,water,2020-04-08 13:00:00,12
Weston,SamObnoxiousWare,What WHAT water everyhwere,7,water,2020-04-08 13:00:00,13
Scenic Vista,BusyHCouch2001,"Department of Health and the St Himark Water and Sewer Department: Broken water and sewer pipes create of risk of contaminated drinking water. The following neighborhoods should boil their water: 4, 8,9,10,14.",19,water,2020-04-08 13:00:00,14
West Parton,RachelSimmons,clean water babeyyyyyyy,11,water,2020-04-08 13:04:00,15
Downtown,AdministratorSophie,If you are a parent quick tip buy and stock up on water it'll save time,9,water,2020-04-08 13:05:00,16
Chapparal,ChemistryTeacherRichardNelson,The particles in boiled water sill become @HoldsFrank_CasonBear active in the body,9,water,2020-04-08 13:05:00,17
Downtown,TVHostBrad,"Water is contaminated. Serious reactions reported in the following neighborhoods Old Town,Safe Town,Scenic Vista,Broadview,Chapparal",10,water,2020-04-08 13:05:00,18
Chapparal,Dickey2005,I drank shoudlome water. Am I going to die? What shoudlhould I do?,7,water,2020-04-08 13:05:00,19
Safe Town,Runner23, I finally get home and I can't drink my water #FTWcantWonder,6,water,2020-04-08 13:06:00,20
Safe Town,Workin4aLivin, boil waters.,6,water,2020-04-08 13:08:00,21
Northwest,ElwinJr, @ChloeJohnson Sow the internet got int he water from teh clouds and thats why we have to boil it? #FTWSowCan @SoLongAndThanksForAllTheWhales,10,water,2020-04-08 13:10:00,22
Northwest,TonyPeterson,"Didn't you hear? You can still boil your water. I swear, people are so useless these days",6,water,2020-04-08 13:17:00,23
Pepper Mill,CassieStones,filter the water first too!,7,water,2020-04-08 13:18:00,24
Southton,EaglepeakHosp,"Moderate damage. Due to concerns over contaminated water, neonatal unit patients are being transferred to other hospitals as a precaution.",9,water,2020-04-08 13:27:00,25
Downtown,TVHostBrad,"Civilians are seeing buildings COLLAPSING  from there windows. I see fire from north-east of the town. The town is in a bad shape, and people can't get help.",10,fire,2020-04-08 13:32:00,26
Safe Town,AlwaysSafePowerCompany,"""@CatLadyKylieCrane Thatís correct! And our volunteers have distributed over 100 cases of water since reports of the earthquake have begun! We are hard at work doing our best to keep you safe! ""#alwayssafe",7,water,2020-04-08 13:33:00,27
Northwest,TonyPeterson,@AlwaysSafePowerCompany Thanks for looking out for us! I'll be boiling my water just to be safe tho.,8,water,2020-04-08 13:35:00,28
Old Town,Candidana, I boil my bottled water...just to be extra safe.,8,water,2020-04-08 13:35:00,29
Downtown,AdministratorSophie,I''l mail you soemome water tho,9,water,2020-04-08 13:37:00,30
Old Town,OldTownBlues,"we need: bottled water, blankets, first aid and food",7,water,2020-04-08 13:38:00,31
Pepper Mill,CassieStones,The sewer though!,12,sewer,2020-04-08 13:43:00,32
Downtown,AdministratorSophie,I sure can @Foster1995 I'll mail it in a container inside of another container submerged in water inside a box I think buzfeed did that once,9,water,2020-04-08 13:45:00,33
Old Town,OldTownBlues,Fire truck trying to get to 12th st but they CANT GET THROUGH,9,fire,2020-04-08 13:51:00,34
Cheddarford,DerekNolan,@ChemistryTeacherRichardNelson guy can spend his time being a sheeple for the govt while the world burns around us and sewage is spread acorss the entire city,9,sewage,2020-04-08 13:54:00,35
