"location","keyword","frequency","time"
"old town","earthquake","0","06/04 @ 00h"
"old town","earthquake","0","06/04 @ 01h"
"old town","earthquake","0","06/04 @ 02h"
"old town","earthquake","0","06/04 @ 03h"
"old town","earthquake","0","06/04 @ 04h"
"old town","earthquake","0","06/04 @ 05h"
"old town","earthquake","0","06/04 @ 06h"
"old town","earthquake","0","06/04 @ 07h"
"old town","earthquake","0","06/04 @ 08h"
"old town","earthquake","0","06/04 @ 09h"
"old town","earthquake","1","06/04 @ 10h"
"old town","earthquake","0","06/04 @ 11h"
"old town","earthquake","0","06/04 @ 12h"
"old town","earthquake","0","06/04 @ 13h"
"old town","earthquake","7","06/04 @ 14h"
"old town","earthquake","6","06/04 @ 15h"
"old town","earthquake","0","06/04 @ 16h"
"old town","earthquake","1","06/04 @ 17h"
"old town","earthquake","2","06/04 @ 18h"
"old town","earthquake","2","06/04 @ 19h"
"old town","earthquake","0","06/04 @ 20h"
"old town","earthquake","0","06/04 @ 21h"
"old town","earthquake","0","06/04 @ 22h"
"old town","earthquake","0","06/04 @ 23h"
"old town","earthquake","0","07/04 @ 00h"
"old town","earthquake","0","07/04 @ 01h"
"old town","earthquake","0","07/04 @ 02h"
"old town","earthquake","0","07/04 @ 03h"
"old town","earthquake","0","07/04 @ 04h"
"old town","earthquake","0","07/04 @ 05h"
"old town","earthquake","0","07/04 @ 06h"
"old town","earthquake","0","07/04 @ 07h"
"old town","earthquake","3","07/04 @ 08h"
"old town","earthquake","0","07/04 @ 09h"
"old town","earthquake","0","07/04 @ 10h"
"old town","earthquake","0","07/04 @ 11h"
"old town","earthquake","0","07/04 @ 12h"
"old town","earthquake","0","07/04 @ 13h"
"old town","earthquake","0","07/04 @ 14h"
"old town","earthquake","0","07/04 @ 15h"
"old town","earthquake","0","07/04 @ 16h"
"old town","earthquake","0","07/04 @ 17h"
"old town","earthquake","3","07/04 @ 18h"
"old town","earthquake","1","07/04 @ 19h"
"old town","earthquake","0","07/04 @ 20h"
"old town","earthquake","0","07/04 @ 21h"
"old town","earthquake","0","07/04 @ 22h"
"old town","earthquake","0","07/04 @ 23h"
"old town","earthquake","0","08/04 @ 00h"
"old town","earthquake","0","08/04 @ 01h"
"old town","earthquake","0","08/04 @ 02h"
"old town","earthquake","0","08/04 @ 03h"
"old town","earthquake","0","08/04 @ 04h"
"old town","earthquake","1","08/04 @ 05h"
"old town","earthquake","0","08/04 @ 06h"
