intervalo,location,words
5,Palace Hills, earthquake earthquake emergency dangerous build
5,Northwest, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Old Town, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Safe Town, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Southwest, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Downtown, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Wilson Forest, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Scenic Vista, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Broadview, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Chapparal, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Terrapin Springs, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Pepper Mill, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Cheddarford, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
5,Easton, earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build earthquake earthquake emergency dangerous build
